Day,No,Word,Meaning,Target_Score,TOEIC_Frequency,Word_Type,Difficulty
1,1,effective,"효과적인, (법률 등이) 발효되는, 시행되는",650,10,adjective,intermediate
1,2,target,"목표, 목표로 삼다",650,10,noun,basic
1,3,immediately,"즉시, 곧",650,10,adverb,basic
1,4,less,"보다 적은, 덜한",650,10,adjective,basic
1,5,negotiation,"협상,교섭",650,5,other,intermediate
1,6,policy,"규정, 보험 증권",650,10,noun,basic
1,7,alliance,"동맹, 제휴",650,5,other,intermediate
1,8,meet,(필요〮요구 등을 만족시키다),650,10,verb,basic
1,9,check,"검사, 검사하다, 조사하다, 확인하다",650,10,verb,basic
1,10,approval,"승인, 인가",650,10,noun,basic
1,11,stipulation,계약 조건,650,5,other,intermediate
1,12,affect,"~에 영향을 미치다, 불리하게 작용하다",650,10,verb,basic
1,13,apply,"적용하다, 지원하다",650,10,verb,basic
1,14,agreement,"계약,협정,합의",650,5,other,intermediate
1,15,department,(조직 및 기구의) 부서,650,10,noun,basic
1,16,identify,"알아보다, 확인하다",650,10,verb,intermediate
1,17,efficiently,효율적으로,650,10,adverb,intermediate
1,18,compliance,(명령 〮 법규에의) 준수,650,10,noun,intermediate
1,19,agree,동의하다,650,10,verb,basic
1,20,regulation,규정,650,10,noun,basic
1,21,required,"필수의, 의무적인",650,10,adjective,basic
1,22,cover,"포함하다, 지불하다, 덮다",650,10,verb,basic
1,23,compromise,"타협,화해",650,5,other,intermediate
1,24,responsible,"책임이 있는, 책임져야 할",650,10,adjective,basic
1,25,inform,~에게 알리다,650,10,verb,basic
1,26,file,"서류, (서류를) 정리하다, 철하다, 정식으로 제기하다",650,10,noun,basic
1,27,permission,"허락, 허가",650,10,noun,basic
1,28,note,"주목하다, 특별히 언급하다",650,10,verb,basic
1,29,deadline,"마감일, 마감 시간",650,10,noun,basic
1,30,deadlock,교착 상태,650,5,other,intermediate
1,31,manufacturing,제조(업)의,650,9,other,basic
1,32,raise,"높이다, 올리다, (의문을)제기하다",650,10,verb,basic
1,33,condition,조건,650,10,noun,basic
1,34,employment,고용,650,10,noun,basic
1,35,extend,"연장하다, (기간을)늘리다,
(감사의 뜻을)말하다, 베풀다",650,10,verb,basic
1,36,notify,"~에게 통지하다, 알리다",650,10,verb,basic
1,37,experience,"경험, 체험, 체험하다, 경험하다",650,10,noun,basic
1,38,employee,"직원, 고용인",650,10,noun,basic
1,39,approximately,대략,650,10,adverb,basic
1,40,position,"일자리,직책,두다",650,10,noun,basic
1,41,according to,~에 따라,650,10,phrase,basic
1,42,additional,"추가의, 부가적인",650,10,adjective,basic
1,43,professional,"전문적인,직업의,전문가",650,10,adjective,basic
1,44,explain,설명하다,650,10,verb,basic
1,45,announcement,"공고, 발표",650,10,noun,basic
1,46,need,"필요, 요구, 욕구, ~할 필요가 있다",650,10,noun,basic
1,47,submit,제출하다,650,10,verb,basic
1,48,applicant,"지원자,신청자",650,10,noun,basic
1,49,upcoming,"곧 있을, 다가오는",650,10,adjective,basic
1,50,demand,"수요, 요구하다",650,10,noun,intermediate
1,51,request,"요청, 요청하다",650,10,verb,basic
1,52,remain,"계속 ~한 상태이다, 아직 ~해야 한다",650,10,verb,basic
1,53,pleased,"만족해하는, 기쁜",650,10,adjective,basic
1,54,lead,"이끌다, 지휘하다, (어떤 결과에)이르다",650,10,verb,basic
1,55,present,"제시하다, 현재의, 참석한",650,10,verb,basic
1,56,interview,"면접,면접을 보다",650,10,noun,basic
1,57,very,"매우, 대단히, 아주",650,10,adverb,basic
1,58,outstanding,"우수한, (부채 등이)미지불 된",650,10,adjective,intermediate
1,59,issue,"(출판물의)제~호, 문제, 쟁점",650,10,noun,basic
1,60,period,"기간, 시기",650,10,noun,basic
1,61,manage,"~을 경영하다, 가까스로 하다",650,10,verb,basic
1,62,requirement,"필요조건,요건",650,10,noun,basic
1,63,industry,산업,650,10,noun,basic
1,64,allow,"~하게하다, ~을 허락하다",650,10,verb,basic
1,65,indicate,"보여주다, 나타내다",650,10,verb,intermediate
1,66,proposal,"제안,계획",650,5,other,intermediate
1,67,form,"종류, 유형, 양식",650,10,noun,basic
1,68,satisfied,"만족하는, 만족스러워하는",650,10,adjective,basic
1,69,hardly,거의~하지 않다,650,10,adverb,basic
1,70,local,"지방의, 고장의",650,10,adjective,basic
1,71,audience,"청중, 관중",650,10,noun,basic
1,72,highly,"매우,대단히",650,10,adverb,basic
1,73,current,"현재의, 현행의, 통용되는",650,10,adjective,basic
1,74,appreciate,"고맙게 생각하다, 높이 평가하다, 감상하다",650,10,verb,intermediate
1,75,effort,노력,650,10,noun,basic
1,76,price,가격,650,10,noun,basic
1,77,entire,전체의,650,10,adjective,basic
1,78,promptly,"즉시, 정각에",650,10,adverb,intermediate
1,79,customer,고객,650,10,noun,basic
1,80,term,"조건, 임기, 기한",650,5,other,intermediate
2,1,acknowledge,"인정하다, (편지 등의) 수령을 알리다",650,10,verb,intermediate
2,2,convenience,"편의, 편리",650,10,noun,basic
2,3,area,"지역, 구역",650,10,noun,basic
2,4,involve,"수반하다, 포함하다, 참여시키다",650,10,verb,basic
2,5,offer,"제공하다, 제공, 오퍼",650,10,noun,basic
2,6,delivery,배달,650,10,noun,basic
2,7,attend,"참석하다, 출석하다",650,10,verb,basic
2,8,establish,설립하다,650,10,verb,basic
2,9,contact,"~와 연락하다, 
(상업적 목적으로)교섭하고 있는 사람",650,10,verb,basic
2,10,confirm,확인하다,650,10,verb,basic
2,11,efficiency,"효율, 능률",650,10,noun,basic
2,12,feature,"특징, 특색, 특징으로 삼다, 특별히 포함하다",650,10,noun,basic
2,13,improve,"향상시키다, 개선하다",650,10,verb,basic
2,14,safety,안전,650,10,noun,basic
2,15,organize,"준비하다, 조직하다, 정리하다",650,10,verb,basic
2,16,provide,"공급하다, 제공하다",650,10,verb,basic
2,17,run,"~을 운영하다, 경영하다,
(공연, 영화 등이) 상영되다, 계속되다",650,10,verb,basic
2,18,decision,"결정, 판단",650,10,noun,basic
2,19,reduce,"줄이다, 감소시키다",650,10,verb,basic
2,20,preparation,"준비, 대비",650,10,noun,basic
2,21,cancel,취소하다,650,10,verb,basic
2,22,arrive,도착하다,650,10,verb,basic
2,23,discuss,"논의하다, 토론하다",650,10,verb,basic
2,24,manufacturer,"제조 회사, 제조업자",650,10,noun,basic
2,25,availability,"(입수)가능성, 유효성, 유용성",650,10,noun,intermediate
2,26,response,"응답, 대답",650,10,noun,basic
2,27,hold,"~을 수용하다, ~을 담다,
(회의 등을)개최하다, 열다",650,10,verb,basic
2,28,benefit,"혜택, 이익, 혜택을 보다, 이익을 얻다",650,10,noun,basic
2,29,inventory,"재고품, 재고 목록",650,10,noun,intermediate
2,30,order,"주문하다, 주문, 주문품",650,10,noun,basic
2,31,quality,"품질, 질",650,10,noun,basic
2,32,recently,최근에,650,10,adverb,basic
2,33,development,"개발, 발전",650,10,noun,basic
2,34,expire,(계약 등이)만료되다,650,5,other,intermediate
2,35,inquiry,"문의, 질문",650,10,noun,intermediate
2,36,book,예약하다,650,10,verb,basic
2,37,handle,"취급하다, 다루다",650,10,verb,basic
2,38,imply,"암시하다, 넌지시, 나타내다, 의미하다",650,10,verb,intermediate
2,39,last,지속되다,650,10,verb,basic
2,40,process,"과정, 처리하다",650,10,noun,basic
2,41,contract,"계약(서),계약하다,수축하다",650,5,other,intermediate
2,42,reach,"(치수·양 등이) ~에 달하다, ~에 도착하다",650,10,verb,basic
2,43,review,"검토하다,재조사하다",650,5,other,intermediate
2,44,cost,"비용, (비용)이 들다",650,10,noun,basic
2,45,update,"갱신,개정,갱신하다, 최신의 것으로 하다",650,10,verb,basic
2,46,total,"총계의, 전부의",650,10,adjective,basic
2,47,grow,"성장하다, 성장시키다, 증가시키다",650,10,verb,basic
2,48,supply,"공급하다, 공급, 비품, 소모품",650,10,noun,basic
2,49,unavailable,"이용할 수 없는, 구할 수 없는",650,10,adjective,basic
2,50,initially,"처음에,초기에",650,5,other,intermediate
2,51,financial,"재정의, 금전상의",650,10,adjective,basic
2,52,eventually,"결국, 마침내",650,10,adverb,basic
2,53,recipient,수신자,650,10,noun,intermediate
2,54,dedicate,"전념하다,헌신하다,바치다",650,5,other,intermediate
2,55,depend on,"~에 달려 있다, ~에게 의존하다",650,10,phrase,basic
2,56,significantly,"상당히, 두드러지게",650,10,adverb,basic
2,57,valid,유효한,650,10,adjective,basic
2,58,annual,매년의,650,10,adjective,basic
2,59,signature,서명,650,5,other,intermediate
2,60,available,"(사물이) 이용 가능한, (사람이) 시간이 있는",650,10,adjective,basic
2,61,choice,"선택물, 선택 사항, 선택",650,10,noun,basic
2,62,originally,"원래,처음에는",650,5,other,intermediate
2,63,increase,"인상, 증가, 증가하다",650,10,noun,basic
2,64,reliable,"믿을 만한, 신뢰할 수 있는",650,10,adjective,intermediate
2,65,reservation,"예약, 지정, 보호구역",650,10,noun,basic
2,66,recent,최근의,650,10,adjective,basic
2,67,currently,현재,650,10,adverb,basic
2,68,regularly,정기적으로,650,10,adverb,basic
2,69,previously,이전에,650,10,adverb,basic
2,70,certain,"확신하는, 확실한, 특정한",650,10,adjective,basic
2,71,information,"정보, 자료",650,10,noun,basic
2,72,critical,"비판적인, 중요한, 위기의",650,10,adjective,basic
2,73,prior,"전의, 먼저의",650,10,adjective,intermediate
2,74,likely,~할 것 같은,650,10,adjective,basic
2,75,nearly,"거의, 대략",650,10,adverb,basic
2,76,complimentary,"무료의, 우대의",650,10,adjective,intermediate
2,77,various,"여러 가지의, 가지각색의",650,10,adjective,basic
2,78,rate,요금,650,10,noun,basic
2,79,collaborate,"협력하다,공동으로 일하다",650,5,other,intermediate
2,80,step,"단계, 조치, 수단",650,10,noun,basic
3,1,opportunity,기회,650,10,noun,basic
3,2,schedule,~을 예정하다,650,10,verb,basic
3,3,consider,고려하다,650,10,verb,basic
3,4,adhere,"지키다, 고수하다",650,9,verb,intermediate
3,5,management,"경영진, 경영",650,10,noun,basic
3,6,associate,관련시키다,650,9,verb,intermediate
3,7,conference,"회의, 회담",650,10,noun,basic
3,8,hire,고용하다,650,9,verb,basic
3,9,representative,"직원, 외판원, 대표자",650,10,noun,basic
3,10,require,요구하다,650,10,verb,basic
3,11,support,"후원, 원조, 지지, 지원하다, 후원하다, 살게하다,
(생명·기력 등을)유지하다",650,10,verb,basic
3,12,promote,"승진시키다, 촉진하다",650,10,verb,basic
3,13,suggest,"제안하다, 추천하다",650,10,verb,basic
3,14,participate,"참여하다, 참가하다",650,10,verb,basic
3,15,occasionally,"가끔, 때때로",650,9,adverb,basic
3,16,include,포함하다,650,10,verb,basic
3,17,transportation,"교통 (수단), 운송 수단",650,10,noun,basic
3,18,report,"보고하다, 출두하다, 보고서, 보도, 기록
(직장·회의 등에 도착을) 알리다",650,10,noun,basic
3,19,eligible,"자격이 있는,적격의",650,9,adjective,intermediate
3,20,recommend,"권고하다, 추천하다",650,10,verb,basic
3,21,commission,"수수료,커미션,위원회,(일 등을)의뢰하다,
주문하다",650,5,other,intermediate
3,22,join,~에 가입하다,650,10,verb,basic
3,23,qualified,"자격있는,적격의",650,9,adjective,basic
3,24,possible,"가능한, 있음 직한",650,10,adjective,basic
3,25,official,"공무원, 관리, 공식적인",650,10,adjective,basic
3,26,receive,"받다, 수취하다",650,10,verb,basic
3,27,renew,(계약 등을)갱신하다,650,5,other,intermediate
3,28,productivity,생산성,650,10,noun,basic
3,29,revenue,수입,650,10,noun,basic
3,30,directly,곧바로,650,9,adverb,basic
3,31,imperative,"반드시 해야 하는,필수적인",650,5,other,intermediate
3,32,closely,"면밀히, 엄밀히",650,9,adverb,intermediate
3,33,clear,"말게 갠, 명백한, 분명한, 또렷하게, 완전히,
떨어져서",650,10,adjective,basic
3,34,necessary,필요한,650,10,adjective,basic
3,35,recruit,(신입 사원 등을)모집하다,650,9,verb,intermediate
3,36,comply,"준수하다, 따르다",650,9,verb,intermediate
3,37,sale,"매출액, 매상고, (할인) 판매",650,10,noun,basic
3,38,omit,"빠트리다,생략하다",650,5,other,intermediate
3,39,vehicle,"차량, 운송 수단",650,10,noun,basic
3,40,environmental,환경적인,650,10,adjective,basic
3,41,voluntarily,자발적으로,650,9,adverb,intermediate
3,42,conflict,"대립,충돌,갈등",650,5,other,intermediate
3,43,authority,"권한, 당국",650,10,noun,basic
3,44,profit,"수익, 이익",650,10,noun,basic
3,45,fill out/in,"(서류에) 기입하다, 적어 넣다",650,10,phrase,basic
3,46,revised,"수정된,변경한",650,5,other,intermediate
3,47,statement,"명세서, 성명서",650,10,noun,basic
3,48,repair,수리하다,650,10,verb,basic
3,49,excellent,"훌륭한, 탁월한",650,9,adjective,basic
3,50,competitor,"경쟁업체, 경쟁자",650,10,noun,basic
3,51,increasing,증가하는,650,10,adjective,basic
3,52,accounting,회계,650,10,noun,basic
3,53,cooperatively,"협력하여,협조적으로",650,5,other,intermediate
3,54,appropriate,"적당한, 적합한",650,10,adjective,basic
3,55,performance,"실적, 성과, 공연, 연주, 연기",650,10,noun,basic
3,56,account,"계좌, 설명, 고려, (~의 이유를) 밝히다, 설명하다
(~의 비율을) 차지하다",650,10,noun,basic
3,57,confidentiality,"기밀,비밀",650,5,other,intermediate
3,58,delay,"연기하다, ~을 뒤로 미루다",650,10,verb,basic
3,59,comprehensive,"종합적인, 포괄적인",650,10,adjective,intermediate
3,60,significant,"상당한, 중대한, 중요한",650,10,adjective,intermediate
3,61,reserved,"예약된, 예약한, 지정된",650,10,adjective,basic
3,62,budget,예산,650,10,noun,basic
3,63,specialize,"~을 전공하다,전문적으로 다루다",650,9,verb,intermediate
3,64,responsibility,"부담, 책임, 의무",650,10,noun,intermediate
3,65,especially,특히,650,9,adverb,basic
3,66,expense,"비용, 지출",650,10,noun,basic
3,67,thoroughly,"철저하게, 완전히, 대단히",650,9,adverb,intermediate
3,68,specifically,"명확하게, 분명히, 특히, 특별히",650,9,adverb,basic
3,69,meeting,회의,650,10,noun,basic
3,70,due,"만기가 된, 지불기일이 된, 
(금전 등이)~에게 마땅히 지급되어야 할",650,10,adjective,basic
3,71,balance,"잔고, 차감 잔액",650,10,noun,basic
3,72,fee,"요금, 수수료",650,10,noun,basic
3,73,deposit,"입금하다, 예금하다",650,10,verb,basic
3,74,register,등록하다,650,10,verb,basic
3,75,recognize,"인정하다, 알아보다",650,10,verb,basic
3,76,quarter,"사분기, 4분의1",650,10,noun,basic
3,77,average,"평균치, 평균",650,10,noun,basic
3,78,minutes,회의록,650,10,noun,basic
3,79,proficient,"능숙한,능한",650,5,other,intermediate
3,80,leave,"휴가, 떠나다, 남기다",650,10,noun,basic
4,1,occupation,직업,650,9,noun,basic
4,2,remind,"~에게 상기시키다, 일깨우다",650,9,verb,basic
4,3,succeed,"성공하다, 뒤를 잇다",650,9,verb,intermediate
4,4,restrict,"한정하다, 제한하다",650,9,verb,intermediate
4,5,reference,"추천서,참고",650,9,noun,intermediate
4,6,follow,"~을 따라가다, 주시하다, (분명히) 이해하다",650,9,verb,basic
4,7,opening,"공석,결원;개장,개시",650,9,noun,basic
4,8,location,"장소, 위치",650,10,noun,basic
4,9,authorize,"~을 인가하다, 권한을 부여하다",650,9,verb,intermediate
4,10,assist,"돕다, 조력하다",650,9,verb,basic
4,11,construction,"건설, 건축",650,10,noun,basic
4,12,appear,"나타나다, 출현하다",650,9,verb,basic
4,13,operation,수술,650,10,noun,basic
4,14,solution,해결책,650,10,noun,basic
4,15,resume,이력서,650,9,noun,basic
4,16,resume,"재개하다, 다시 시작하다",650,9,verb,intermediate
4,17,commit,"헌신하다, 전념하다",650,9,verb,intermediate
4,18,consultant,"고문,컨설턴트",650,9,noun,intermediate
4,19,resource,자원,650,10,noun,basic
4,20,direct,"~에게 길을 안내하다, 가르쳐주다",650,9,verb,basic
4,21,postpone,"연기하다, 뒤로 미루다",650,9,verb,intermediate
4,22,training,"교육,훈련",650,9,noun,basic
4,23,perform,"(일〮과제 〮의무 등을) 행하다, 실행하다",650,9,verb,basic
4,24,coordinate,조정하다,650,9,verb,intermediate
4,25,buy,"사다, 구입하다",650,9,verb,basic
4,26,dispute,"분쟁,논쟁",650,5,other,intermediate
4,27,proceed,"(일을)진행하다,진척되다",650,5,other,intermediate
4,28,option,선택권,650,5,other,intermediate
4,29,conduct,"(업무의) 수행, (업무 등을)수행하다",650,9,verb,intermediate
4,30,inspection,"점검, 검사",650,9,noun,intermediate
4,31,aware,"알고 있는, 인식하고 있는",650,9,adjective,basic
4,32,chance,"가능성, 기회",650,10,noun,basic
4,33,dramatically,극적으로,650,9,adverb,intermediate
4,34,revise,"(의견 및 계획을)수정하다, 변경하다",650,9,verb,intermediate
4,35,procedure,절차,650,9,noun,intermediate
4,36,loan,"대출, 대출금",650,10,noun,basic
4,37,involved,"관여하는, 관계된, 연루된",650,9,adjective,basic
4,38,largely,"주로, 대부분",650,9,adverb,basic
4,39,expand,"확장하다, 확대하다",650,9,verb,intermediate
4,40,essential,"필수적인, 극히 중요한, 본질적인",650,9,adjective,basic
4,41,security,"보안,안전,보호",650,5,other,intermediate
4,42,bill,"~에게 청구서를 보내다, 청구서, 계산서",650,10,noun,basic
4,43,organization,단체,650,10,noun,basic
4,44,fairly,"상당히, 꽤",650,9,adverb,basic
4,45,arrangement,"준비, 마련, 주선",650,9,noun,basic
4,46,accessible,"출입할 수 있는, 이용할 수 있는",650,9,adjective,intermediate
4,47,confidential,"기밀의, 내밀한",650,9,adjective,intermediate
4,48,interest,"관심, 권리, 이자",650,10,noun,basic
4,49,document,"서류, 문서, 기록하다, 문서를 작성하다",650,10,noun,basic
4,50,amount,"액수, 약",650,10,noun,basic
4,51,relatively,상대적으로,650,9,adverb,intermediate
4,52,managerial,관리의,650,9,adjective,intermediate
4,53,exactly,정확히,650,9,adverb,basic
4,54,in advance,"미리, 사전에",650,10,phrase,basic
4,55,timely,"시기적절한, 때를 맞춘",650,9,adjective,intermediate
4,56,assign,"배정하다, 할당하다",650,9,verb,basic
4,57,extended,"(기간 등을)연장한, 장기간에 걸친",650,9,adjective,intermediate
4,58,wage,"임금, 급료",650,9,noun,basic
4,59,renovation,"수리, 개조",650,10,noun,basic
4,60,modify,"수정하다,일부 변경하다",650,5,other,intermediate
4,61,engage,"관여하다, 종사하다",650,9,verb,intermediate
4,62,contain,포함하다,650,9,verb,basic
4,63,assume,"(증거는 없으나)사실이라고 생각하다,
(책임〮역할을) 맡다",650,9,verb,basic
4,64,accountable,책임이 있는,650,9,adjective,intermediate
4,65,attire,"복장, 옷차림새",650,9,noun,intermediate
4,66,extremely,"극도로, 대단히",650,9,adverb,basic
4,67,major,"주요한, 중대한",650,9,adjective,basic
4,68,exclusive,"독점적인, 배타적인",650,9,adjective,intermediate
4,69,candidate,"후보자, 지원자",650,9,noun,basic
4,70,fulfill,"(조건을) 만족시키다, (약속 및 의무 등을) 지키다, 이행하다",650,9,verb,intermediate
4,71,impression,인상,650,5,other,intermediate
4,72,objection,"반대,이의",650,5,other,intermediate
4,73,exception,예외,650,9,noun,intermediate
4,74,degree,학위,650,9,noun,basic
4,75,familiar,"익숙한,친숙한",650,9,adjective,basic
4,76,prospective,"장래의,미래의",650,9,adjective,intermediate
4,77,popular,인기 있는,650,9,adjective,basic
4,78,code,"규범, 관례, 암호",650,9,noun,basic
4,79,rapidly,"급속히, 빨리",650,9,adverb,basic
4,80,define,"규정하다,정의하다",650,5,other,intermediate
5,1,properly,"제대로, 정확하게",650,9,adverb,basic
5,2,coming,다가오는,650,9,adjective,basic
5,3,limited,"제한된, 한정된",650,9,adjective,basic
5,4,bid,입찰,650,5,other,intermediate
5,5,compatible,"호환되는, 양립할 수 있는",650,9,adjective,intermediate
5,6,advanced,"고급의, 진보한, 앞선",650,9,adjective,intermediate
5,7,author,"작가, 저자",650,9,noun,basic
5,8,competition,경쟁,650,9,noun,intermediate
5,9,subject,"~의 영향을 받기 쉬운, (동의 등을)조건으로 하는
~에게 (~을) 받게하다",650,5,other,intermediate
5,10,acceptable,"용인되는, 받아들일 수 있는, 훌륭한, 
만족스러운",650,9,adjective,intermediate
5,11,particular,특정한,650,9,adjective,basic
5,12,away,떨어져서,650,9,adverb,basic
5,13,increasingly,"점점, 더욱더",650,9,adverb,intermediate
5,14,innovative,혁신적인,650,9,adjective,intermediate
5,15,revision,"수정, 개정",650,9,noun,basic
5,16,successful,"성공적인, 성공한",650,9,adjective,basic
5,17,domestic,"국내의, 국산의",650,9,adjective,intermediate
5,18,fall,(값·가치가)하락하다,650,9,verb,basic
5,19,headquarters,본부,650,9,noun,basic
5,20,replacement,"교체, 후임자",650,9,noun,basic
5,21,reserve,"예약하다, 지정하다, 보존하다",650,9,verb,basic
5,22,forward,"앞으로, (물건, 정보를)보내다",650,9,verb,basic
5,23,utilize,"이용하다, 활용하다",650,9,verb,intermediate
5,24,colleague,(직업상의) 동료,650,9,noun,basic
5,25,challenging,"도전적인,힘든",650,5,other,intermediate
5,26,manner,"방식, 태도",650,9,noun,basic
5,27,examine,조사하다,650,9,verb,intermediate
5,28,assignment,"일, 임무, 과제",650,9,noun,basic
5,29,corporation,"주식회사, 법인",650,9,noun,intermediate
5,30,analysis,분석,650,9,noun,intermediate
5,31,separately,"개별적으로, 따로따로",650,9,adverb,basic
5,32,grant,"(인정하여 정식으로) 수여하다, 주다,
(연구비·장학금 등의) 보조금",650,9,verb,intermediate
5,33,analyze,"분석하다, 분석적으로 검토하다",650,9,verb,intermediate
5,34,settle,"해결하다,처리하다",650,5,other,intermediate
5,35,boost,"(경기를) 부양시키다, 상승시키다",650,9,verb,intermediate
5,36,overview,"개요, 개관",650,9,noun,basic
5,37,operate,"(기계 등이) 작동하다, 움직이다",650,9,verb,basic
5,38,aim,"~을 겨누다, 목표, 목적",650,9,verb,basic
5,39,resolve,(문제 등을)해결하다,650,9,verb,intermediate
5,40,expectation,"예상, 기대",650,9,noun,intermediate
5,41,rest,"쉬다, 휴식을 취하다, 휴식, 나머지",650,9,noun,basic
5,42,on behalf of,~을 대신해서,650,10,phrase,basic
5,43,admission,입장,650,9,noun,intermediate
5,44,provider,"공급자, 제공자",650,9,noun,basic
5,45,place,"~을 ~한 상태에 두다, 
(지시·주문·신청 등을) 하다",650,9,verb,basic
5,46,advise,"조언해 주다, 충고하다",650,9,verb,basic
5,47,impact,"영향, 충격",650,9,noun,intermediate
5,48,accurate,정확한,650,9,adjective,intermediate
5,49,promising,"유망한, 전망이 좋은",650,9,adjective,intermediate
5,50,launch,(신제품을) 출시하다,650,9,verb,basic
5,51,compensation,"보상금, 보상",650,9,noun,intermediate
5,52,variety,"다양성, 변화, 종류, 품종",650,9,noun,basic
5,53,officially,공식적으로,650,9,adverb,intermediate
5,54,advertisement,광고,650,9,noun,basic
5,55,campaign,"운동, 캠페인",650,9,noun,basic
5,56,division,부서,650,9,noun,basic
5,57,attendance,"출근, 출석",650,9,noun,basic
5,58,qualify,~의 자격을 얻다,650,9,verb,intermediate
5,59,release,"발표하다, 공개하다, 출시, 발매",650,9,noun,basic
5,60,workshop,"워크숍, 연수",650,9,noun,basic
5,61,invest,"투자하다, 운용하다",650,9,verb,basic
5,62,respectively,"각각, 따로",650,9,adverb,intermediate
5,63,introduce,"(신제품을) 발표하다, 소개하다",650,9,verb,basic
5,64,beneficial,"유익한, 이로운",650,9,adjective,intermediate
5,65,flexible,"융통성 있는, 유연한, 잘 구부러지는",650,9,adjective,basic
5,66,extension,"연장, 연기, (전화의) 내선",650,9,noun,basic
5,67,confirmation,"확인, 확증",650,5,other,intermediate
5,68,survey,설문 조사,650,9,noun,intermediate
5,69,initial,"처음의, 최초의",650,9,adjective,basic
5,70,feedback,"의견, 반응",650,9,noun,basic
5,71,coworker,"동료, 협력자",650,9,noun,basic
5,72,terminate,"끝내다,종결시키다",650,5,other,intermediate
5,73,attract,"끌다, 유인하다",650,9,verb,basic
5,74,foundation,"토대,기초",650,5,other,intermediate
5,75,prefer,"(다른 것보다)~을 더 좋아하다, 선호하다",650,9,verb,basic
5,76,sufficiently,충분히,650,9,adverb,intermediate
5,77,produce,생산하다,650,9,verb,basic
5,78,satisfactory,만족스러운,650,5,other,intermediate
